Catalog number,Image license,Image URI,Object type,Rights holder,Institution URL,Higher classification,Person name,Person identifier
NHMUK010265364,CC BY,https://data.nhm.ac.uk/media/6c3d5785-a4a2-4fa7-bc38-fa25dd6ec7e4,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
NHMUK010265371,CC BY,https://data.nhm.ac.uk/media/c41e7a40-f358-4eb6-ae6a-e44ecb73b228,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
NHMUK010402186,CC BY,https://data.nhm.ac.uk/media/f5990d68-026b-4d3a-a68c-a85d083c99ed,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
NHMUK010402209,CC BY,https://data.nhm.ac.uk/media/ef2ecad5-00d1-40cd-8ace-0c1c7384c6e6,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
BMNH(E)970317,CC BY,https://data.nhm.ac.uk/media/6c30c07c-ad8e-47b6-9545-923c6e18d796,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
NHMUK010220791,CC BY,https://data.nhm.ac.uk/media/fcadbcc7-ed6d-402c-aba9-fa3f119dd4de,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hemiptera,L Livermore,0000-0002-7341-1842
NHMUK010790876,CC BY,https://data.nhm.ac.uk/media/4d4d6091-2cfd-4a0a-8872-5a3ac828d258,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Coleoptera,L Livermore,0000-0002-7341-1842
NHMUK010924396,CC BY,https://data.nhm.ac.uk/media/ce5935ff-cf4e-4812-b8ba-001b94b98009,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Orthoptera,L Livermore,0000-0002-7341-1842
NHMUK010924401,CC BY,https://data.nhm.ac.uk/media/3fa97fc8-5398-4f38-b3ab-44655c74a72f,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Orthoptera,L Livermore,0000-0002-7341-1842
NHMUK010924464,CC BY,https://data.nhm.ac.uk/media/489d8ec2-d560-4c16-b5fc-d350cf018e7a,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Orthoptera,L Livermore,0000-0002-7341-1842
NHMUK010924509,CC BY,https://data.nhm.ac.uk/media/9aad4841-1b0a-416d-8270-ea57fb037643,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Orthoptera,L Livermore,0000-0002-7341-1842
NHMUK011249613,CC BY,https://data.nhm.ac.uk/media/0428acd1-4b1f-41e4-9ee0-24b380bb90ce,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Odonata,L Livermore,0000-0002-7341-1842
NHMUK011249618,CC BY,https://data.nhm.ac.uk/media/83238b84-1043-4915-bcc7-8dfae7655be7,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Odonata,L Livermore,0000-0002-7341-1842
NHMUK011249638,CC BY,https://data.nhm.ac.uk/media/2cf52360-361c-4432-858e-664a03dea51a,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Odonata,L Livermore,0000-0002-7341-1842
NHMUK011249693,CC BY,https://data.nhm.ac.uk/media/2ec796d0-b1e5-47c9-b373-f361ddea1a2e,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Odonata,L Livermore,0000-0002-7341-1842
NHMUK011249705,CC BY,https://data.nhm.ac.uk/media/2b4ae534-595f-494d-b155-7d3d6f4df68a,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Odonata,L Livermore,0000-0002-7341-1842
NHMUK011249744,CC BY,https://data.nhm.ac.uk/media/9164962b-f9bc-4ee7-ac7b-8db878db2fdc,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Odonata,L Livermore,0000-0002-7341-1842
NHMUK011249753,CC BY,https://data.nhm.ac.uk/media/8b839748-b15c-4e0d-8261-3ce6b9e2cfb8,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Odonata,L Livermore,0000-0002-7341-1842
BMNH(E)102813,CC BY,https://data.nhm.ac.uk/media/52574b1b-99b9-4213-ae32-81e3ac98b3b0,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
BMNH(E)102573,CC BY,https://data.nhm.ac.uk/media/f76abbc7-34e9-4bd6-ba79-604708eb70fc,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
BMNH(E)102574,CC BY,https://data.nhm.ac.uk/media/2ce548a6-0b29-4fb9-9ae5-092fa0a802bc,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
BMNH(E)102589,CC BY,https://data.nhm.ac.uk/media/dcb55d57-d946-4236-ae8e-9b0bf2ae8175,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
BMNH(E)102590,CC BY,https://data.nhm.ac.uk/media/0ea3c427-034d-485b-8f80-a47a9d026235,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
BMNH(E)102595,CC BY,https://data.nhm.ac.uk/media/46679af0-961c-46cb-8a52-de3551efb8b0,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
BMNH(E)102624,CC BY,https://data.nhm.ac.uk/media/d4f5ced2-4f90-4472-b246-318f7af06303,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK013602561,CC BY,https://data.nhm.ac.uk/media/22892dc5-b64a-4464-8cc0-6e6379cee7d0,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK013602562,CC BY,https://data.nhm.ac.uk/media/a7b2fbf4-4a40-4433-a929-3682ea083911,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010514939,CC BY,https://data.nhm.ac.uk/media/8c7f754d-9f38-4bff-826c-6b77f2b0e5b8,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010514941,CC BY,https://data.nhm.ac.uk/media/d5753f3c-c405-41f0-b58a-84715dbaf3fe,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010514952,CC BY,https://data.nhm.ac.uk/media/38ac5592-0521-476b-9d8b-a87de77f057b,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010514957,CC BY,https://data.nhm.ac.uk/media/95f1b400-e9b3-48f2-9f23-8d1b9d22d1dd,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010514981,CC BY,https://data.nhm.ac.uk/media/e8b83317-000c-4f1e-83a7-10d10a0c7a78,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010514990,CC BY,https://data.nhm.ac.uk/media/619a8db0-2864-4c2d-9da1-8e94db3f4cbb,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010515030,CC BY,https://data.nhm.ac.uk/media/23b62b3d-7cef-4ed8-82fc-57686272d468,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010515033,CC BY,https://data.nhm.ac.uk/media/84cd316e-3055-4cc9-9064-1ac452d5ab8c,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010515042,CC BY,https://data.nhm.ac.uk/media/354297f8-04a4-46f1-a0d2-b282def72f75,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010515045,CC BY,https://data.nhm.ac.uk/media/92286b86-9f20-4d13-8ff1-38120b5ff474,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010516745,CC BY,https://data.nhm.ac.uk/media/2b9ac251-375f-4ece-9c01-f67cd5bd8eff,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010516756,CC BY,https://data.nhm.ac.uk/media/0e1a14e8-040e-4c8e-aa30-91f987b50098,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
NHMUK010516768,CC BY,https://data.nhm.ac.uk/media/b813a2dc-453e-4b82-b9b4-96d702345af5,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1842
